name,poor,weak,moderate,long_lasting,very_long_lasting
Pandora #2 Pandora for women,0,0,0,0,0
Pandora #3 Pandora for women,0,0,1,0,0
Pandora #4 Pandora for women,0,0,0,0,0
Pandora #5 Pandora for women,0,0,0,0,0
Pandora #6 Pandora for women,0,0,0,0,0
Pandora #7 Pandora for women,0,0,1,0,0
Diavolo Antonio Banderas for men,4,8,29,7,4
Vetiver de Puig Antonio Puig for men,0,3,1,2,2
Zinnia Antonio Puig for women,1,1,2,0,1
Zegna Pour Homme Ermenegildo Zegna for men,2,0,0,4,0
Caractere Daniel Hechter for men,5,3,14,8,3
Naema Arabesque Perfumes for women and men,0,0,1,0,0
Adamand Premier Alan Bray for men,0,0,0,0,0
Amiko Alan Bray for women,0,0,0,0,0
Bosfor Alan Bray for men,0,0,0,0,0
Caprice Alan Bray for men,0,0,0,0,0
Carriere Alan Bray for men,0,0,0,0,0
Cote d'Azure Alan Bray for women,0,0,0,0,0
Etoile Alan Bray for women,0,0,0,0,0
Festival Alan Bray for women,0,0,0,1,0
Geisha Alan Bray for women,0,0,0,0,0
Greenland Alan Bray for men,0,0,0,0,0
Ice Ever Alan Bray for men,0,0,0,0,0
Ice Intro Alan Bray for men,0,0,0,0,0
Jungle Alan Bray for men,0,0,0,0,0
Luxor Alan Bray for men,0,0,0,0,0
Maxsus Alan Bray for men,0,0,0,0,0
Maxsus Silver Alan Bray for men,0,0,0,0,0
Mocco Alan Bray for women,0,0,0,0,0
Palazzo Alan Bray for women,0,0,0,0,0
Palazzo d'Oro Alan Bray for women,0,0,0,0,0
Persona Grata Alan Bray for men,0,0,0,0,0
Princesse Amirage Alan Bray for women,0,0,0,0,0
Princesse Grace Alan Bray for women,0,0,0,0,0
Renome Alan Bray for men,0,0,0,0,0
Royal Garden Alan Bray for women,0,0,0,0,0
Royal Garden Rose Alan Bray for women,0,0,0,0,0
Shiraz Alan Bray for men,0,0,0,0,0
Soir de Cannes Alan Bray for women,0,0,0,0,0
Soliel Alan Bray for women,0,0,0,0,0
Tibet Alan Bray for men,0,0,0,0,0
Vent Vert Alan Bray for women,0,0,0,0,0
Vintage Alan Bray for men,0,0,0,0,0
Vintage Intense Alan Bray for men,0,0,0,1,0
Voodoo Alan Bray for women,0,0,0,0,0
Woodland Alan Bray for men,0,0,0,0,0
Zanzibar Alan Bray for women,0,0,0,0,0
Kush Kush Perfume for women and men,1,1,1,0,6
Fragrance №07 Nikkos-Oskol Fragrance for women and men,0,0,1,0,1
EIGHT & BOB EIGHT & BOB for men,12,7,20,43,27
Memoires de Mustique EIGHT & BOB for women and men,5,0,12,5,3
Old Spice Original Shulton Company for men,25,52,145,45,15
Lavender Elizabeth W for women and men,1,0,1,0,0
Leaves Elizabeth W for women,1,0,0,0,0
Lilac Elizabeth W for women,0,0,1,0,1
Redwoods Elizabeth W for men,1,0,1,1,0
Tuberose Elizabeth W for women,1,0,0,0,0
Vetiver Elizabeth W for women and men,0,0,1,0,1
Empress of India Essentially Me for women,0,0,0,1,1
Cedar Forest Ponsa for women and men,0,0,0,3,0
 Amaro Averna Discovery Perfumes for women and men,0,0,0,1,0
Cassis And Fig Discovery Perfumes for women and men,0,0,1,0,0
Cours Saleya Discovery Perfumes for women and men,0,0,1,0,0
Leather Of Grasse Discovery Perfumes for women and men,0,0,1,0,0
Night of Nordlys Discovery Perfumes for women and men,0,0,0,1,0
Sorrento Discovery Perfumes for women and men,0,0,1,1,0
Marguerite Bourbon French Parfums for women,0,0,0,1,0
Mon Idée Bourbon French Parfums for women,0,0,1,0,0
Sans Nom Bourbon French Parfums for women,0,0,1,2,1
Voodoo Love Bourbon French Parfums for women and men,0,0,1,3,6
Mediterranea Culti for women and men,0,0,0,0,0
Terraforte Culti for women and men,0,0,0,0,0
Dark Knight Odore Mio for men,0,0,0,0,1
Fresh Lime Odore Mio for men,0,0,0,0,0
Italian Leather Odore Mio for women and men,0,0,0,0,0
Jardin du Jasmin Odore Mio for women,0,1,0,0,0
Magnolia Odore Mio for women,0,0,0,0,0
Olive Blossom Odore Mio for women and men,0,0,0,0,0
Pink Magnolia Odore Mio for women,0,0,0,0,0
Spanish Leather Odore Mio for women and men,0,0,0,0,0
Vanilla Bean Absolute Odore Mio for women and men,0,0,0,0,0
White Knight Odore Mio for women and men,0,0,0,0,0
White Magnolia Odore Mio for women,0,0,0,0,0
Wild Cologne Odore Mio for women and men,0,0,0,0,0
4711 Remix Cologne 2020 4711 for women and men,1,0,0,1,0
Blauer UN1T3D States Man Blauer for men,0,0,2,3,0
Fruit d'Amour Green Emanuel Ungaro for women,5,2,2,4,0
Ungaro Love Emanuel Ungaro for women,2,2,4,4,0
Ungaro Power Emanuel Ungaro for men,2,0,5,1,0
Blooming Rose Gianfranco Ferre for women,0,1,1,0,2
Bois & Or Pascal Morabito for men,2,0,3,1,1
Agarbathi Penhaligon's for men,5,4,10,3,4
Paithani Penhaligon's for women,0,2,6,6,7
Rinascimento Salvatore Ferragamo for women and men,0,0,0,1,3
Eucalypcense Fitzgerald and Guislain for women and men,0,0,0,0,1
Gerefou Fitzgerald and Guislain for women and men,0,0,0,0,0
Golden Rose Fitzgerald and Guislain for women and men,0,0,1,0,0
Nuit à l’Opéra Fitzgerald and Guislain for women and men,0,0,0,0,0
Berry Tobacco Herdahl-Thorsing for women and men,0,0,1,1,0
Cream Flower Herdahl-Thorsing for women and men,0,1,0,1,0
White Rum Herdahl-Thorsing for women and men,0,0,0,2,2
Chevalier De La Nuit Parfums Ciro for women and men,2,1,0,7,1
L'Heure Romantique Parfums Ciro for women and men,0,0,0,1,0
Maskee Parfums Ciro for women and men,0,0,0,2,0
Aquarius Strange Invisible Perfumes for women and men,0,0,1,0,0
Aries Strange Invisible Perfumes for women and men,1,2,0,1,0
Arunima Strange Invisible Perfumes for women and men,2,0,1,0,0
Atlantic Strange Invisible Perfumes for men,2,0,0,2,0
Black Rosette Strange Invisible Perfumes for women and men,2,0,3,0,1
Cancer Strange Invisible Perfumes for women and men,0,0,0,0,1
Capricorn Strange Invisible Perfumes for women and men,1,0,0,0,0
Elektrou Strange Invisible Perfumes for women,1,0,0,0,0
Epic Gardenia Strange Invisible Perfumes for women,2,1,1,0,1
Essence of IX Strange Invisible Perfumes for women and men,2,1,1,1,0
Fair Verona Strange Invisible Perfumes for women,2,0,0,1,0
Fire and Cream Strange Invisible Perfumes for women,2,0,2,0,0
Gemini Strange Invisible Perfumes for women and men,2,0,0,0,0
L'Invisible Strange Invisible Perfumes for women,1,0,0,2,0
Leo Strange Invisible Perfumes for women and men,0,0,0,0,0
Libra Strange Invisible Perfumes for women and men,2,0,1,1,0
Magazine Street Strange Invisible Perfumes for women,2,3,2,5,0
Moon Garden Strange Invisible Perfumes for women,1,0,1,0,1
Musc Botanique Strange Invisible Perfumes for women and men,5,0,0,0,1
Peloponnesian Strange Invisible Perfumes for women and men,3,0,3,0,0
Pisces Strange Invisible Perfumes for women and men,2,1,0,0,2
Prima Ballerina Strange Invisible Perfumes for women,1,1,1,0,0
Sagittarius Strange Invisible Perfumes for women and men,1,0,0,0,0
Scorpio Strange Invisible Perfumes for women and men,0,0,0,0,0
Tahitian Honey Strange Invisible Perfumes for women,1,1,0,0,0
Taurus Strange Invisible Perfumes for women and men,1,0,0,1,0
Tropical Vial Strange Invisible Perfumes for women,1,0,1,1,0
Vacances Strange Invisible Perfumes for women,2,0,0,0,0
Virgo Strange Invisible Perfumes for women and men,1,1,0,1,0
Apatite (Апатит) Alexandra Gluck for women and men,0,0,0,0,0
Bulvar Dmitriya Donskogo (Бульвар Дмитрия Донского) Alexandra Gluck for women and men,0,0,0,0,0
Carnelian (Сердолик) Alexandra Gluck for women and men,0,0,0,0,0
Dinamo (Динамо) Alexandra Gluck for women and men,0,0,0,0,0
Fili (Фили) Alexandra Gluck for women and men,0,0,0,0,0
Kurskaya (Курская) Alexandra Gluck for women and men,0,0,0,0,0
Prospekt Mira (Проспект Мира) Alexandra Gluck for women,0,0,0,0,0
Pushkinskaya (Пушкинская) Alexandra Gluck for women,0,0,0,0,0
Pyrite (Пирит) Alexandra Gluck for women and men,0,0,0,0,0
Rimskaya (Римская) Alexandra Gluck for women and men,0,0,0,0,0
Shelepikha (Шелепиха) Alexandra Gluck for women and men,0,0,0,0,0
Sokolniki (Сокольники) Alexandra Gluck for women,0,0,0,0,0
Tourmaline (Турмалин) Alexandra Gluck for women and men,0,0,0,0,0
Unakite (Унакит) Alexandra Gluck for women and men,0,0,0,0,0
VDNKh (ВДНХ) Alexandra Gluck for women,0,0,0,0,0
Apatite (Апатит) Mazhu Kozhu (Мажу Кожу) for men,0,0,0,0,0
Berry Cocktail (Ягодный Kоктейль) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Carnelian (Сердолик) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Cranberry Jam (Клюквенное Варенье) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Fiesta (Фиеста) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Japanese Garden (Японский Cад) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Mayan Sun (Солнце Майя) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Mild Ivy (Добрый Плющ) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,1
Monte-Cristo (Монте-Кристо) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Rooftop Walks (Прогулки По Крышам) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Season Opening (Открытие Cезона) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Spicy Apple (Пряное яблоко) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Spring (Побег) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Sunny Nectar (Солнечный Hектар) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Tourmaline (Турмалин) Mazhu Kozhu (Мажу Кожу) for men,0,0,0,0,0
Unakite (Унакит) Mazhu Kozhu (Мажу Кожу) for women,0,0,0,0,0
Woody Freshness (Древесная Свежесть) Mazhu Kozhu (Мажу Кожу) for women and men,0,0,0,0,0
Wish Pink Diamond Chopard for women,10,13,7,4,2
Ferre Rose Gianfranco Ferre for women,5,8,14,9,3
Ferre Rose Diamond Limited Edition Gianfranco Ferre for women,1,0,4,0,0
Balmya de Balmain Pierre Balmain for women,2,6,6,10,3
4711 Acqua Colonia Blood Orange & Basil 4711 for women and men,12,21,33,5,2
4711 Acqua Colonia Lemon & Ginger 4711 for women and men,21,9,10,2,0
4711 Acqua Colonia Myrrh & Kumquat 4711 for women and men,0,1,3,3,1
4711 Acqua Colonia Saffron & Iris 4711 for women and men,3,1,1,0,0
4711 Jasmine Eau de Cologne 4711 for women and men,4,0,2,0,2
4711 Lilac Eau de Cologne 4711 for women and men,0,0,1,0,1
4711 Remix Cologne Anniversary Edition 4711 for women and men,2,1,6,3,2
4711 Rose Eau de Cologne 4711 for women and men,1,1,0,1,1
Signature Eau Fraiche Otto Kern for men,0,0,0,0,0
Copacabana Nuit Male Lab Pour Homme for women and men,0,0,0,0,0
Gantois Male Lab Pour Homme for women and men,0,0,0,0,0
Ibirocai Male Lab Pour Homme for women and men,0,0,0,0,0
Male 01 Male Lab Pour Homme for women and men,0,0,0,0,1
Linda Lindinha O Boticário for women,0,0,0,0,0
Berriessence Brocard for women,0,0,0,0,0
Isabella Fiorentino Jequiti for women,0,0,1,0,0
Bubble Der Duft for women and men,0,0,0,0,0
Kokain Rammstein for women and men,14,5,13,4,7
Kokain Intense Rammstein for women and men,0,2,2,0,0
Zwinger Rammstein for men,0,1,2,1,2
Femme I Alexandre Marc for women,0,0,0,0,0
Femme II Alexandre Marc for women,0,0,0,0,0
