name,poor,weak,moderate,long_lasting,very_long_lasting
Daisy Shine Red Marc Jacobs for women,2,1,6,2,1
Daisy Sunshine Marc Jacobs for women,4,3,4,4,2
Mauboussin Homme Mauboussin for men,4,0,26,27,16
Mauboussin Topaze Mauboussin for women,0,0,2,0,0
Addictive Oriental by Alberto Morillas Mercedes-Benz for men,2,6,8,9,1
Alma de Rosario Mizensir for women and men,0,2,1,1,0
Bois de Mysore Mizensir for women and men,2,1,2,3,1
Bois Iridescent Mizensir for women and men,2,1,2,1,1
Celebes Wood Mizensir for women and men,0,0,0,0,4
Coeur de Cologne Mizensir for women and men,1,0,0,1,0
Cologne de Figuier Mizensir for women and men,1,0,1,1,0
Cologne du Maté Mizensir for women and men,0,0,1,0,1
Eau de Gingembre Mizensir for women and men,0,0,5,4,1
Edition de Veronique Mizensir for women,1,1,1,0,2
Elixir de Musc Mizensir for women and men,1,0,4,0,5
Épine de Rose Mizensir for women and men,0,0,1,0,0
For Your Love Mizensir for women and men,0,0,2,4,2
Ideal Oud Mizensir for women and men,0,0,3,3,1
Incensum Mizensir for women and men,0,0,1,0,2
L'Envers du Paradis Mizensir for women and men,0,1,1,2,0
L'Ombre du Lys Mizensir for women and men,1,0,3,2,1
Little Bianca Mizensir for women and men,0,0,1,1,0
Lovely Alba Mizensir for women,0,1,0,0,0
Luxury Mizensir for women,0,3,2,1,0
Musc Eternel Mizensir for women and men,0,1,4,6,5
Mythique Vetyver Mizensir for women and men,1,0,1,1,3
Original Oud Mizensir for women and men,0,0,1,1,3
Perfect Oud Mizensir for women and men,0,2,4,2,7
Poudre d'Or Mizensir for women and men,3,1,4,7,1
Rose Exaltante Mizensir for women,1,0,2,2,0
Solar Blossom Mizensir for women and men,0,0,3,1,2
Sweet Praline Mizensir for women and men,1,1,6,2,3
Tender Oud Mizensir for women and men,0,0,2,1,0
Tres Chere Mizensir for women,0,1,7,4,2
Very Musc Mizensir for women and men,0,1,0,1,3
White Neroli Mizensir for women and men,0,1,1,3,3
Fresh Couture Moschino for women,13,20,42,12,8
Toy 2 Moschino for women,13,10,27,19,8
Mugler Cologne Mugler for women and men,91,148,475,163,54
Mugler Cologne Come Together Mugler for women and men,13,17,10,7,4
Essence Narciso Rodriguez for women,13,19,49,81,19
Essence Iridescent Narciso Rodriguez for women,1,3,11,4,3
Atmos Natura for men,1,0,1,0,0
Mademoiselle Ricci Nina Ricci for women,22,18,47,63,12
Mademoiselle Ricci L'Eau Nina Ricci for women,5,5,18,6,5
Glamour O Boticário for women,1,1,6,5,0
Glamour Nuit O Boticário for women,1,0,1,2,0
The Blend Bourbon O Boticário for men,0,0,3,2,0
The Blend Eau de Parfum O Boticário for men,0,1,2,1,0
Omega Aqua Terra Omega for men,0,1,3,4,1
Intrusion Oscar de la Renta for women,9,8,29,16,6
Pedro Del Hierro Pedro Del Hierro for women,1,0,1,0,0
Iris Prima Penhaligon's for women and men,37,21,56,21,7
The Tragedy of Lord George Penhaligon's for men,19,18,44,31,18
No Limit$ Philipp Plein Parfums for men,6,1,2,1,5
The $kull Philipp Plein Parfums for women and men,6,2,1,1,4
Midnight Romance Ralph Lauren for women,14,24,46,17,8
Fiori di Essenza Divina Renato Balestra for women,0,0,0,0,0
Roberto Cavalli Man Roberto Cavalli for men,1,3,10,11,11
VV Roberto Verino for women,1,5,5,1,1
Byzance Rochas for women,17,8,29,41,47
Byzantine Rochas for women,2,3,4,6,4
Eau de Lotus Bleu Roger & Gallet for women,0,2,5,2,0
Gingembre Rouge Roger & Gallet for women,8,13,6,0,1
Gingembre Rouge Edition Or Roger & Gallet for women,1,0,0,0,0
Gingembre Rouge Intense Roger & Gallet for women,0,1,8,3,0
Gingembre Rouge Limited Edition 2019 Roger & Gallet for women,0,0,0,0,0
Rose Imaginaire Roger & Gallet for women,6,2,1,0,0
Thé Fantaisie Roger & Gallet for women,4,2,5,4,1
Romeo Gigli Man Romeo Gigli for men,4,5,14,4,0
Romeo Gigli per Uomo Romeo Gigli for men,2,2,16,9,10
S-Perfume S-Perfume for women and men,0,1,1,0,1
S-Perfume Jet Scent Remix 2.0 S-Perfume for women and men,1,0,0,0,0
S-Perfume v1.05 Jet Scent S-Perfume for women and men,0,0,0,0,0
Calice De La Seduction Eternelle Salvador Dali for women and men,0,2,3,7,0
Dali Eau de Toilette Salvador Dali for women,2,4,16,13,1
Dali Parfum de Toilette Salvador Dali for women,8,4,28,68,28
Fabulous 1 - Dali Salvador Dali for women,2,1,2,2,4
Fluidite Du Temps Imaginaire Salvador Dali for women,1,0,1,2,3
Melodie Du Cygne De La Main Salvador Dali for women,0,0,2,3,0
Regard Scintillant de Mille Beautes Salvador Dali for women and men,0,1,2,0,4
Voyage Onirique Du Papillon De Vie Salvador Dali for women and men,1,2,4,2,0
Acqua Essenziale Salvatore Ferragamo for men,21,31,106,38,14
Acqua Essenziale Blu Salvatore Ferragamo for men,16,17,58,90,15
Acqua Essenziale Colonia Salvatore Ferragamo for men,14,25,82,43,18
Emozione Salvatore Ferragamo for women,13,12,36,50,14
Emozione Dolce Fiore Eau de Parfum Salvatore Ferragamo for women,0,0,1,0,1
Punta Ala Salvatore Ferragamo for women and men,0,1,1,1,0
Punta Ala (2014) Salvatore Ferragamo for women and men,1,1,10,2,1
Uomo Salvatore Ferragamo Salvatore Ferragamo for men,23,40,85,254,57
Uomo Salvatore Ferragamo Limited Edition Salvatore Ferragamo for men,0,2,3,8,3
Uomo Salvatore Ferragamo Signature Salvatore Ferragamo for men,17,14,42,114,24
Uomo Salvatore Ferragamo Urban Feel Salvatore Ferragamo for men,10,7,20,8,10
Stella Peony Stella McCartney for women,5,8,12,9,3
Tommy Tommy Hilfiger for men,28,64,240,52,17
Bianco Trussardi for women,0,4,2,3,1
V Valentino for women,10,8,27,9,5
Valentina Valentino for women,68,71,227,69,29
Les Saisons Hiver Van Cleef & Arpels for women,1,5,7,2,0
Murmure Van Cleef & Arpels for women,4,1,7,12,2
Zanzibar Van Cleef & Arpels for men,5,5,19,5,4
Bright Crystal Versace for women,102,243,598,164,81
Bright Crystal Absolu Versace for women,18,25,96,129,34
Eros Pour Femme Versace for women,25,42,130,82,37
Versace Pour Homme Versace for men,140,222,1123,568,120
Versace Pour Homme Dylan Blue Versace for men,65,81,396,696,96
Hechizo Victorio & Lucchino for women,1,3,4,1,2
Belle d'Opium Yves Saint Laurent for women,37,46,142,87,37
M7 Yves Saint Laurent for men,42,26,91,240,272
Saharienne Yves Saint Laurent for women and men,2,4,2,4,5
Textures Green Zara for women,0,1,1,0,0
Textures Lilac Zara for women,1,0,2,0,0
Textures Pink Zara for women,0,1,0,0,0
Zara For Her 2004 Zara for women,0,2,2,0,1
Zara Man 2000 Zara for men,1,1,4,1,2
Aqua Bergamota Zara Home for women and men,3,4,14,6,1
Evitorial Twist Zara Home for women and men,2,0,7,6,2
Eau de Polder L’essence de Mastenbroek for women and men,1,1,2,0,1
Deeply MariaLux for women,0,0,6,13,2
Madly MariaLux for women,3,2,5,1,5
Truly MariaLux for women,6,0,2,2,0
Green Morgane le Fay for women,0,0,1,0,0
Absinth Nasomatto for women and men,17,21,64,31,15
Baraonda Nasomatto for women and men,21,24,49,76,116
